30	35	4
30	141	1
30	146	3
30	147	1
30	150	2
30	167	1
30	214	2
30	230	2
30	242	4
30	243	4
30	271	1
30	272	1
30	281	1
35	141	3
35	146	6
35	147	3
35	150	2
35	167	1
35	214	3
35	230	3
35	242	5
35	243	12
35	271	1
35	272	3
35	281	4
141	147	1
141	214	1
141	242	2
141	243	2
141	271	1
141	272	1
141	281	1
146	147	2
146	150	3
146	214	2
146	230	3
146	242	3
146	243	5
146	272	2
146	281	2
147	150	1
147	230	2
147	242	3
147	243	3
147	271	2
147	272	1
150	167	1
150	214	1
150	230	1
150	242	1
150	243	2
150	271	1
150	281	1
167	242	2
214	230	2
214	243	3
214	281	2
230	242	1
230	243	4
230	272	1
230	281	1
242	243	2
242	271	2
242	272	5
243	271	2
243	272	2
243	281	3
